passenger_id,Name,Sex,Age,Pclass,Embarked,Survived
1178,"Allen, Lady. Elizabeth",FEMALE,33.4,3,S,1
1058,"Davies, Rev. Frank", M ,22.1,2,S,0
1331,"Allen, Mr. George",Male,31.7,3,S,0
1204,"Allen, Rev. George",Male,37.4,1,S,1
1303,"Goldsmith, Mlle. Alice",f,7.9,3,S,0
1308,"Allen, Ms. Anna", F ,18.3,2,S,1
1269,"Murphy, Mr. Charles",MALE,24.3,2,C,0
1401,"Sandström, Mr. John",m,26.5,2,S,0
1171,"Taylor, Mrs. Mary",female,5.4,3,Q,1
1030,"Davies, Mrs. Edith", F ,26.4,3,S,1
1163,"Lindqvist, Mr. Frank",male,43.5,3,S,0
1150,"Murphy, Mr. Charles",MALE,11.5,3,S,1
1326,"Wilson, Mr. George",male,32.8,1,C,1
1405,"Carlsson, Mlle. Margaret",female,34.3,1,S,1
1200,"Murphy, Miss. Helen",FEMALE,,3,S,1
1322,"Webber, Mrs. Mary",Female,36.0,1,S,1
1095,"Goldsmith, Mrs. Florence",female,,2,S,1
1261,"Lindqvist, Mr. George",Male,unknown,1,C,1
1386,"Evans, Mrs. Margaret",Female,16.2,3,S,1
1222,"Taylor, Mrs. Alice",FEMALE,48.0,1,S,0
1086,"Fox, Col. George",m,8.3,3,S,1
1133,"Webber, Mr. James",male,36.7,2,Q,0
1188,"Murphy, Mr. George",MALE,55.1,1,S,1
1249,"Wilson, Dr. James",Male,,3,S,1
1090,"Smith, Col. Henry",male,36.3,2,C,1
1012,"Brown, Dr. William",m,45.6,2,S,1
1035,"Sandström, Miss. Anna",Female,24.4,3,S,1
1218,"Hart, Col. John",m,35.8,3,S,1
1073,"Goldsmith, Miss. Anna",Female,35.9,3,C,1
1392,"O'Brien, Mr. Edward",Male,21.7,3,S,0
1221,"Davies, Rev. Thomas",male,16.9,3,C,1
1260,"Smith, Miss. Florence", F ,26.6,2,S,1
1413,"Johansson, Master. Thomas",male,25.7,3,S,0
1140,"Walsh, Col. Edward", M ,34.0,3,,0
1166,"Brown, Lady. Margaret",Female,35.7,3,S,1
1379,"Murphy, Mrs. Anna",female,18.8,3,S,1
1013,"Andersson, Master. William",MALE,39.3,2,S,0
1199,"Johansson, Mlle. Florence",female,20.3,3,Q,1
1214,"Fox, Rev. William",m,,3,S,1
1381,"Webber, Miss. Margaret",female,32.8,1,C,1
1235,"Wilson, Dr. William",male,51.6,1,S,0
1365,"Brown, Miss. Florence",FEMALE,6.8,3,C,1
1298,"Allen, Rev. George", M ,33.5,3,S,0
1369,"Taylor, Master. Edward",male,15.5,3,S,0
1097,"Fox, Col. John",male,29.0,1,Q,1
1271,"Carlsson, Col. Charles",male,33.1,3,,0
1064,"Wilson, Mrs. Alice",FEMALE,,1,C,1
1223,"Webber, Mr. John",MALE,23.8,3,Q,0
1096,"Walsh, Master. Arthur",m,27.2,3,S,0
1014,"Webber, Mr. Arthur", M ,35.8,2,S,1
1018,"Webber, Rev. James",male,9.3,3,Q,0
1310,"Brown, Mr. William",m,41.0,3,S,0
1247,"Allen, Mrs. Helen",female,33.2,1,S,1
1335,"Taylor, Dr. Edward",m,36.7,3,C,0
1208,"Brown, Master. John",male,17.6,3,C,0
1091,"Goldsmith, Miss. Elizabeth",Female,38.1,1,S,1
1282,"Lindqvist, Miss. Margaret",FEMALE,,2,S,1
1040,"Carlsson, Mr. Edward",male,64.6,1,Q,0
1087,"Murphy, Col. Charles",Male,23.0,3,S,0
1182,"Smith, Miss. Grace",Female,20.3,3,S,1
1293,"Lindqvist, Master. Frank",male,45.2,3,S,0
1146,"Davies, Ms. Florence",female,,3,S,0
1159,"Taylor, Miss. Helen",female,30.3,1,Q,1
1352,"Walsh, Mrs. Florence",f,32.1,1,S,1
1314,"Taylor, Mr. James",Male,25.3,3,Q,0
1315,"Andersson, Dr. Arthur",male,46.7,2,S,0
1300,"Lindqvist, Master. Edward",male,20.2,2,S,0
1201,"Walsh, Mr. William",male,31.3,3,S,1
1072,"Carlsson, Dr. Thomas",male,33.7,2,C,0
1329,"Petrov, Miss. Edith",female,37.0,1,S,1
1362,"O'Brien, Mr. James",Male,22.0,3,S,1
1311,"Murphy, Dr. John",male,,3,S,1
1339,"Brown, Mr. John",male,24.2,3,S,0
1404,"Hart, Mr. James",male,22.3,3,,0
1334,"Murphy, Mr. Henry",m,52.1,1,Q,1
1134,"Sandström, Mr. Arthur",male,36.4,2,S,0
1061,"Lindqvist, Master. Charles",Male,,3,S,1
1324,"Brown, Mr. George",male,25.3,3,S,0
1416,"Goldsmith, Dr. Edward",Male,27.7,3,S,0
1101,"Goldsmith, Mr. Charles",male,39.1,3,S,1
1020,"Walsh, Master. Frank", M ,25.3,3,S,0
1366,"O'Brien, Mr. John",Male,,3,Q,1
1403,"Brown, Mrs. Ruth", F ,43.1,1,S,1
1265,"Wilson, Mr. Charles",male,38.6,1,S,1
1277,"Webber, Mrs. Margaret",f,,1,S,1
1009,"Taylor, Mrs. Ruth",female,,3,S,1
1284,"Allen, Lady. Alice", F ,unknown,3,S,1
1093,"Carlsson, Mr. James",male,,3,Q,1
1253,"O'Brien, Mr. Thomas",male,34.7,1,C,1
1033,"Johansson, Ms. Florence", F ,32.1,1,S,1
1136,"Walsh, Rev. Henry",MALE,,2,C,0
1023,"Carlsson, Mr. George",Male,38.5,3,S,0
1063,"Lindqvist, Mr. George", M ,,3,Q,0
1419,"Davies, Rev. Frank",Male,45.5,3,S,1
1216,"Petrov, Rev. Frank",male,40.0,2,S,0
1357,"Carlsson, Rev. Edward", M ,46.5,3,S,0
1367,"Fox, Lady. Anna",female,25.7,2,S,1
1258,"Petrov, Mr. Charles",male,,3,S,1
1053,"Murphy, Miss. Alice",f,47.2,1,S,0
1358,"Smith, Rev. Charles",male,34.5,3,Q,1
1174,"Brown, Dr. George",MALE,34.1,1,S,1
1036,"O'Brien, Master. James",male,,1,S,1
1179,"Andersson, Mrs. Grace",f,22.6,3,S,1
1168,"Smith, Ms. Anna",FEMALE,22.8,3,S,1
1227,"Allen, Mlle. Anna",Female,14.7,3,C,1
1121,"Davies, Mlle. Margaret",female,unknown,1,S,1
1276,"Andersson, Master. John", M ,34.7,3,C,0
1045,"Lindqvist, Mrs. Alice",FEMALE,28.8,3,S,1
1301,"Petrov, Mr. John",male,35.1,3,S,0
1325,"Goldsmith, Ms. Edith",female,,3,S,1
1077,"O'Brien, Mrs. Margaret", F ,24.5,3,C,0
1209,"Andersson, Mr. George",male,27.8,3,,0
1213,"Goldsmith, Mr. Henry",m,30.6,1,S,1
1268,"Andersson, Rev. William",m,32.4,2,S,1
1312,"Andersson, Mr. Henry", M ,30.6,2,S,0
1217,"Davies, Dr. Frank",MALE,,3,S,0
1377,"Wilson, Dr. George",male,52.7,1,C,0
1010,"Brown, Dr. Arthur",MALE,,3,S,1
1393,"Murphy, Mrs. Elizabeth",female,24.0,3,S,1
1368,"Smith, Col. George",male,25.4,3,S,1
1286,"Johansson, Col. Edward",Male,34.9,1,C,1
1296,"Goldsmith, Mr. Arthur",male,26.1,3,S,1
1105,"Smith, Mr. Arthur",m,19.1,3,S,1
1313,"Allen, Ms. Edith",Female,23.9,3,S,1
1388,"Murphy, Rev. Frank",m,20.1,3,S,1
1214,"Fox, Rev. William",m,,3,S,1
1092,"Fox, Miss. Alice",Female,11.7,3,S,1
1183,"Webber, Mr. Frank",MALE,36.3,3,S,1
1316,"Walsh, Master. Henry",male,,3,S,1
1396,"Wilson, Mrs. Helen",female,37.1,1,S,1
1173,"O'Brien, Mlle. Margaret",female,23.7,3,S,1
1233,"Wilson, Mrs. Helen",Female,26.7,3,S,1
1409,"Brown, Mr. Thomas", M ,,2,S,1
1037,"Brown, Rev. Henry",male,,2,S,0
1157,"Fox, Miss. Grace",female,18.7,2,C,1
1003,"Taylor, Mr. Arthur",MALE,39.9,3,S,0
1243,"Sandström, Col. James",male,21.5,3,Q,1
1309,"Sandström, Mr. Frank",m,,1,S,0
1290,"Wilson, Mr. George",Male,,3,S,0
1049,"Webber, Mr. Charles",Male,24.2,3,S,0
1142,"Lindqvist, Master. Thomas",m,14.7,3,S,0
1224,"Webber, Ms. Elizabeth", F ,0.8,3,S,0
1353,"Andersson, Col. Charles",male,45.1,1,Q,0
1184,"Goldsmith, Mr. Edward",m,19.1,3,S,0
1332,"Goldsmith, Mrs. Helen", F ,20.7,2,C,1
1391,"O'Brien, Miss. Helen",FEMALE,,3,S,1
1161,"O'Brien, Lady. Margaret",f,58.6,1,C,0
1337,"Goldsmith, Master. John",m,,3,S,0
1220,"Wilson, Miss. Mary", F ,,3,C,1
1100,"Lindqvist, Lady. Elizabeth",FEMALE,41.7,1,S,1
1236,"Johansson, Miss. Helen",female,36.6,1,Q,1
1118,"Brown, Rev. Thomas",m,,1,Q,1
1342,"Evans, Master. Edward",Male,24.7,2,S,0
1002,"Brown, Miss. Grace",female,,3,S,1
1114,"Walsh, Miss. Grace", F ,,3,S,0
1417,"Wilson, Mrs. Anna",f,28.2,3,S,1
1175,"Taylor, Mr. Henry",m,40.7,1,S,0
1254,"Murphy, Mrs. Alice", F ,30.3,2,Q,0
1382,"Petrov, Mr. James",m,31.6,2,S,0
1185,"Taylor, Rev. Charles", M ,26.8,3,C,0
1166,"Brown, Lady. Margaret",Female,35.7,3,S,1
1373,"Smith, Lady. Helen",FEMALE,13.7,3,S,1
1275,"Sandström, Dr. William",Male,32.0,2,C,0
1193,"Wilson, Ms. Edith",FEMALE,26.1,1,S,1
1001,"Johansson, Mr. Charles", M ,38.7,3,S,1
1055,"Andersson, Mr. William",male,42.5,2,S,1
1376,"Sandström, Mr. Arthur",MALE,27.2,3,S,0
1029,"Petrov, Mr. Thomas",male,,3,S,0
1207,"Davies, Mrs. Ruth",f,19.5,3,S,1
1384,"Walsh, Mr. Charles",MALE,50.6,1,Q,1
1050,"Carlsson, Ms. Edith",FEMALE,18.7,3,S,1
1351,"Petrov, Miss. Grace",female,34.6,2,S,1
1021,"Petrov, Col. Thomas",male,34.1,1,S,1
1294,"Walsh, Mrs. Helen",female,32.5,3,S,0
1177,"Andersson, Rev. Henry",Male,44.4,3,S,0
1336,"Fox, Mr. George",male,42.0,1,S,1
1380,"Brown, Mrs. Grace", F ,31.8,3,S,1
1034,"Fox, Mrs. Ruth",Female,28.6,1,Q,1
1172,"Johansson, Dr. Charles",Male,15.4,3,S,1
1008,"Brown, Col. Arthur", M ,25.9,3,S,0
1319,"Andersson, Master. Henry",male,47.5,1,S,1
1118,"Brown, Rev. Thomas",m,,1,Q,1
1107,"Fox, Col. Arthur",MALE,31.2,3,S,0
1098,"Goldsmith, Ms. Florence",female,35.1,2,S,1
1111,"Taylor, Dr. William",m,22.9,3,S,0
1361,"Sandström, Miss. Mary", F ,31.4,2,S,1
1070,"Walsh, Mlle. Edith",female,37.4,1,S,1
1347,"Lindqvist, Col. Thomas",male,23.5,3,S,0
1130,"Webber, Mr. George",Male,31.3,2,,1
1317,"Murphy, Col. Arthur",male,36.2,3,S,1
1259,"Johansson, Miss. Florence",Female,22.7,3,Q,0
1323,"Petrov, Ms. Helen",Female,14.2,3,Q,1
1151,"Allen, Mrs. Florence",female,48.9,2,S,1
1338,"Fox, Mr. Charles",male,41.1,1,C,0
1027,"Sandström, Miss. Ruth", F ,19.4,3,S,1
1399,"Sandström, Mr. James", M ,-23.8,3,S,1
1094,"Murphy, Miss. Elizabeth",Female,37.5,3,S,1
1149,"Lindqvist, Master. William",male,,3,S,1
1120,"Allen, Master. Frank",Male,15.9,3,S,0
1406,"Sandström, Mlle. Helen",female,,3,C,1
1139,"Allen, Mr. Frank",male,23.9,3,S,0
1170,"Murphy, Miss. Helen",female,21.6,3,C,1
1364,"O'Brien, Miss. Ruth",female,21.6,3,C,1
1203,"Wilson, Mrs. Helen", F ,27.9,3,S,1
1148,"Sandström, Mr. James",male,40.0,2,S,0
1278,"Goldsmith, Master. Thomas",MALE,,3,S,0
1257,"Lindqvist, Mr. William",MALE,63.2,1,S,1
1132,"Taylor, Dr. Edward", M ,18.5,3,C,1
1250,"Davies, Rev. Frank",Male,40.0,2,S,1
1153,"Johansson, Miss. Florence",female,30.7,3,S,1
1363,"Fox, Mr. Thomas",Male,34.6,2,S,0
